name,city,state,adm_rate,undergrads,cost,compl_4,median_hh_inc,median_earnings
North Central University,Minneapolis,MN,0.535,1008,31279,0.3019,65000.36,30800
University of Northwestern-St Paul,Saint Paul,MN,0.8677,1954,40044,0.5381,70065.41,36600
Oak Hills Christian College,Bemidji,MN,0.291,113,27188,0.2857,53222.25,23900
College of Saint Benedict,Saint Joseph,MN,0.7414,1943,51676,0.7677,70918.96,50000
Saint Cloud State University,Saint Cloud,MN,0.862,10610,18086,0.1782,66422.48,42900
Saint Johns University,Collegeville,MN,0.7408,1742,50297,0.6573,71469.52,59100
Saint Mary's University of Minnesota,Winona,MN,0.7761,1719,41003,0.5121,70833.22,44200
St Olaf College,Northfield,MN,0.3597,3005,53100,0.838,75732.77,47300
Crown College,Saint Bonifacius,MN,0.5295,912,36231,0.4444,68899.21,32800
The College of Saint Scholastica,Duluth,MN,0.6147,2757,43861,0.6241,60287.14,51000
University of St Thomas,Saint Paul,MN,0.8396,6076,49000,0.6015,76939.14,55600
University of St Thomas,Saint Paul,MN,0.8396,6076,49000,0.6015,71790.89,48900
University of St Thomas,Houston,TX,0.7803,1720,40040,0.3732,76939.14,55600
University of St Thomas,Houston,TX,0.7803,1720,40040,0.3732,71790.89,48900
St Catherine University,Saint Paul,MN,0.6739,3265,47274,0.4019,71786.79,46700
Southwest Minnesota State University,Marshall,MN,0.6403,2300,19517,0.2171,56697.45,37100
Dunwoody College of Technology,Minneapolis,MN,0.7529,1092,30622,0.75,72326.62,49400
Winona State University,Winona,MN,0.6246,7833,20637,0.3164,68678.3,42700
Alcorn State University,Alcorn State,MS,0.8056,2911,21361,0.167,38329.94,30100
Belhaven University,Jackson,MS,0.508,2653,30521,0.3454,57705.44,35700
Blue Mountain College,Blue Mountain,MS,0.9921,436,19704,0.4795,44968.64,30100
Delta State University,Cleveland,MS,0.8698,2440,18217,0.1689,39124.62,33600
Jackson State University,Jackson,MS,0.6752,7436,20459,0.1867,43401.54,29100
Millsaps College,Jackson,MS,0.5264,757,48576,0.5907,56763.17,46300
University of Mississippi,University,MS,0.7873,18472,22704,0.391,53374.26,41100
Mississippi University for Women,Columbus,MS,0.9613,2192,17125,0.2718,43147.25,33100
Mississippi Valley State University,Itta Bena,MS,0.7567,1767,18768,0.1041,34674.56,22700
Mississippi College,Clinton,MS,0.8248,2898,28313,0.3987,52824.92,38400
Mississippi State University,Mississippi State,MS,0.6524,16712,22525,0.3085,46465.5,40300
Rust College,Holly Springs,MS,0.4149,856,15697,0.2232,41256.82,22900
University of Southern Mississippi,Hattiesburg,MS,0.5804,11737,20275,0.2678,46990.98,35800
Tougaloo College,Tougaloo,MS,0.3912,856,20594,0.2468,44758.77,25900
William Carey University,Hattiesburg,MS,0.5689,2047,24959,0.4013,45401.66,34700
Avila University,Kansas City,MO,0.5089,1369,36248,0.3051,67638.05,42500
Cox College,Springfield,MO,0.5938,773,25524,0.4,48211.36,40400
Calvary University,Kansas City,MO,0.9423,226,18180,0.3182,59014.41,32600
Central Christian College of the Bible,Moberly,MO,0.3491,271,23241,0.1486,57236.66,29300
Central Methodist University-College of Liberal Arts and Sciences,Fayette,MO,0.5786,1091,33700,0.4077,49478.5,34700
University of Central Missouri,Warrensburg,MO,0.7945,9019,18512,0.3058,57730.2,36700
Cleveland University-Kansas City,Overland Park,KS,0.75,45,40815,0,61070.83,38900
Culver-Stockton College,Canton,MO,0.5589,973,35732,0.4422,52894.01,36500
Drury University,Springfield,MO,0.842,3082,33183,0.2966,45736.92,31500
Evangel University,Springfield,MO,0.6146,1723,32696,0.3805,58696.81,34400
Fontbonne University,Saint Louis,MO,0.9676,1086,33414,0.3757,60924.15,40800
Hannibal-LaGrange University,Hannibal,MO,0.5873,847,30251,0.3988,48193.05,33700
Kansas City Art Institute,Kansas City,MO,0.5802,642,50321,0.6011,67668.37,30200
Lindenwood University,Saint Charles,MO,0.5539,7787,31369,0.2808,68730.21,39200
Maryville University of Saint Louis,Saint Louis,MO,0.7227,2703,42146,0.5588,70678.19,46200
Missouri Baptist University,Saint Louis,MO,0.5744,1740,33418,0.2512,62761.71,34600
Missouri Southern State University,Joplin,MO,0.9413,5202,14430,0.153,46217,32500
Missouri Valley College,Marshall,MO,0.4557,1389,31810,0.1359,56022.44,33400
University of Missouri-Columbia,Columbia,MO,0.7813,27393,23298,0.4601,66484.66,46100
University of Missouri-Kansas City,Kansas City,MO,0.6271,7977,20927,0.2288,63187.36,43900
Missouri University of Science and Technology,Rolla,MO,0.8808,6747,21793,0.2393,59935.86,67100
University of Missouri-St Louis,Saint Louis,MO,0.7588,8275,21089,0.2206,64068.51,40600
Truman State University,Kirksville,MO,0.7897,5290,20206,0.5527,64318.95,43700
Northwest Missouri State University,Maryville,MO,0.7495,5288,17751,0.2579,55791.06,37800
College of the Ozarks,Point Lookout,MO,0.1236,1441,27798,0.6311,46804.8,32800
Park University,Parkville,MO,0.4038,10105,22935,0.0776,57220.12,45300
Stevens-The Institute of Business & Arts,Saint Louis,MO,1,127,22956,0.3571,50380.57,24900
Rockhurst University,Kansas City,MO,0.7358,1555,46682,0.6019,68699.32,47900
Saint Louis University,Saint Louis,MO,0.6333,7502,53949,0.5986,72169.74,54400
Saint Louis Christian College,Florissant,MO,0.3611,153,17927,0.3103,59406.69,24700
Southwest Baptist University,Bolivar,MO,0.9047,2394,30797,0.3518,49841.76,32900
Stephens College,Columbia,MO,0.6779,710,42178,0.2714,61398.11,33400
Southeast Missouri State University,Cape Girardeau,MO,0.8429,9098,17950,0.2774,51305.92,36100
Missouri State University-Springfield,Springfield,MO,0.8585,16617,19846,0.2926,56273.4,37400
Washington University in St Louis,Saint Louis,MO,0.1674,7032,65887,0.8643,79298.58,66300
Webster University,Saint Louis,MO,0.5612,3150,40119,0.4506,66464.45,41100
Westminster College,Fulton,MO,0.6367,940,36034,0.4791,62575.25,41600
Westminster College,Fulton,MO,0.6367,940,36034,0.4791,56138.86,42200
Westminster College,Fulton,MO,0.6367,940,36034,0.4791,70649.66,47900
Westminster College,New Wilmington,PA,0.9404,1103,44976,0.694,62575.25,41600
Westminster College,New Wilmington,PA,0.9404,1103,44976,0.694,56138.86,42200
Westminster College,New Wilmington,PA,0.9404,1103,44976,0.694,70649.66,47900
Westminster College,Salt Lake City,UT,0.9595,2135,41056,0.455,62575.25,41600
Westminster College,Salt Lake City,UT,0.9595,2135,41056,0.455,56138.86,42200
Westminster College,Salt Lake City,UT,0.9595,2135,41056,0.455,70649.66,47900
William Jewell College,Liberty,MO,0.4938,1053,44659,0.5567,66156.47,44200
William Woods University,Fulton,MO,0.7312,968,35423,0.4057,58051.44,34700
Carroll College,Helena,MT,0.641,1428,42391,0.4967,55326.09,43500
University of Great Falls,Great Falls,MT,0.5983,1052,33567,0.2482,48623.58,32300
Montana Tech of the University of Montana,Butte,MT,0.8879,1898,17508,0.1279,44236.75,41100
Montana State University,Bozeman,MT,0.8286,13488,18961,0.2156,53207.14,40400
The University of Montana,Missoula,MT,0.9102,10175,16807,0.2444,50573.68,34700
Montana State University-Northern,Havre,MT,1,1154,15497,0.1288,43741.63,35100
Rocky Mountain College,Billings,MT,0.6985,906,35236,0.3017,51454.11,37500
Clarkson College,Omaha,NE,0.5181,704,23948,0.6667,61065.74,48900
Bryan College of Health Sciences,Lincoln,NE,0.8551,602,24773,0.1739,58151.07,48500
Concordia University-Nebraska,Seward,NE,0.7768,1255,36549,0.4063,60450.28,36900
Creighton University,Omaha,NE,0.7048,4080,48767,0.6746,68443.5,56100
Doane University-Arts & Sciences,Crete,NE,0.7659,1053,40400,0.5663,57123.16,44200
Grace University,Omaha,NE,0.5864,390,30207,0.3478,60446.7,31200
Hastings College,Hastings,NE,0.7115,1103,37924,0.4552,58174.49,41700
University of Nebraska at Kearney,Kearney,NE,0.8538,4819,20352,0.2372,51335.53,39100
Nebraska Methodist College of Nursing & Allied Health,Omaha,NE,0.3427,765,25000,0.7143,66507.51,47100
Midland University,Fremont,NE,0.6063,1220,38903,0.4087,56723.06,38800
University of Nebraska at Omaha,Omaha,NE,0.7594,12287,17148,0.1591,66043.01,42300
Nebraska Wesleyan University,Lincoln,NE,0.788,1781,40248,0.5115,59199.51,45300
University of Nebraska-Lincoln,Lincoln,NE,0.7636,20182,21758,0.3299,60976.73,43700
College of Saint Mary,Omaha,NE,0.6146,705,36786,0.233,62625.82,38800
York College,York,NE,0.4374,404,25430,0.3362,57118.86,36000
University of Nevada-Las Vegas,Las Vegas,NV,0.8841,23325,16791,0.1292,70070.97,43200
University of Nevada-Reno,Reno,NV,0.7852,17295,20542,0.2199,68050.29,45000
Sierra Nevada College,Incline Village,NV,0.657,498,47820,0.2727,71252.07,44900
Colby-Sawyer College,New London,NH,0.9019,1205,53396,0.4398,75754.73,39900
Daniel Webster College,Nashua,NH,0.6196,675,27962,0.3114,75000.78,53500
Dartmouth College,Hanover,NH,0.1097,4214,65133,0.8591,79834.73,70000
Franklin Pierce University,Rindge,NH,0.7971,1661,47168,0.3557,72941.72,37500
New England College,Henniker,NH,0.9775,1886,47086,0.2808,73541.41,34100
Southern New Hampshire University,Manchester,NH,0.9171,42247,42953,0.4988,71986.54,41700
University of New Hampshire-Main Campus,Durham,NH,0.7861,12789,30246,0.6336,77484.55,47700
Keene State College,Keene,NH,0.7876,4186,25418,0.526,75913.18,41200
University of New Hampshire at Manchester,Manchester,NH,0.7317,696,20950,0.375,77484.55,47700
Plymouth State University,Plymouth,NH,0.7357,4000,26058,0.4428,74160.31,38600
Rivier University,Nashua,NH,0.5732,1344,41175,0.4,78345.46,43100
Saint Anselm College,Manchester,NH,0.729,1908,51384,0.7045,81185.61,55500
Bloomfield College,Bloomfield,NJ,0.597,1937,40706,0.0729,62332.64,35900
Caldwell University,Caldwell,NJ,0.6354,1576,40825,0.3125,80563.66,41700
Centenary University,Hackettstown,NJ,0.8676,1548,42381,0.5778,87083.61,43800
Drew University,Madison,NJ,0.7031,1346,60063,0.6277,89519.38,50800
Fairleigh Dickinson University-Metropolitan Campus,Teaneck,NJ,0.7951,3707,45144,0.3528,80740.5,48400
Felician University,Lodi,NJ,0.7879,1600,43180,0.1833,74826.3,41900
Fairleigh Dickinson University-Florham Campus,Madison,NJ,0.8315,2505,52883,0.3882,80740.5,48400
Georgian Court University,Lakewood,NJ,0.7284,1352,40790,0.3665,78770.86,42800
Rowan University,Glassboro,NJ,0.7109,12912,27078,0.4269,76692.58,49400
New Jersey City University,Jersey City,NJ,0.8673,6201,17552,0.0505,58259.31,42100
Kean University,Union,NJ,0.7427,11755,24343,0.2083,76062.13,46000
Monmouth University,West Long Branch,NJ,0.7419,4661,46450,0.505,87615.47,50300
Montclair State University,Montclair,NJ,0.7007,16129,25270,0.3605,79914.29,48900
New Jersey Institute of Technology,Newark,NJ,0.6076,7049,28150,0.2358,75892.84,65900
Princeton University,Princeton,NJ,0.0714,5260,59665,0.8975,81428.25,80500
Rabbinical College of America,Morristown,NJ,0.7368,258,23643,0,64216.84,30500
Ramapo College of New Jersey,Mahwah,NJ,0.5324,5425,29842,0.5991,88597.61,48000
Rider University,Lawrenceville,NJ,0.6901,4039,52399,0.5424,85423.56,50200
Rutgers University-Camden,Camden,NJ,0.5838,4835,24306,0.2611,82669.68,56400
Rutgers University-New Brunswick,New Brunswick,NJ,0.5845,35102,29076,0.5838,82669.68,56400
Rutgers University-Newark,Newark,NJ,0.6465,7208,24233,0.3322,82669.68,56400
Saint Peter's University,Jersey City,NJ,0.6731,2424,42710,0.364,63508.52,44500
Seton Hall University,South Orange,NJ,0.7625,5818,49945,0.5071,79591.86,56400
College of Saint Elizabeth,Morristown,NJ,0.6318,778,46509,0.3764,82332.62,42800
Stevens Institute of Technology,Hoboken,NJ,0.4356,2956,62385,0.382,83951.71,87300
Stockton University,Galloway,NJ,0.6442,7765,26929,0.5306,73199.66,46800
The College of New Jersey,Ewing,NJ,0.4867,6590,30299,0.7155,86752.57,56200
William Paterson University of New Jersey,Wayne,NJ,0.7429,9279,23572,0.1979,80256.1,44300
Eastern New Mexico University-Main Campus,Portales,NM,0.4983,3627,15976,0.1563,42974.58,29300
New Mexico Institute of Mining and Technology,Socorro,NM,0.2445,1502,19401,0.2,52104.89,52900
University of New Mexico-Main Campus,Albuquerque,NM,0.5788,19886,17000,0.1543,49538.77,34900
New Mexico State University-Main Campus,Las Cruces,NM,0.6576,11887,17572,0.1341,43867.23,33400
Vaughn College of Aeronautics and Technology,Flushing,NY,0.7393,1525,34244,0.2778,55978.8,48400
Adelphi University,Garden City,NY,0.7219,4813,45034,0.5472,80864.95,55200
Albany College of Pharmacy and Health Sciences,Albany,NY,0.6587,1001,43749,0.7143,60872.01,122600
Alfred University,Alfred,NY,0.6841,1754,40697,0.4387,63665.1,39100
American Musical and Dramatic Academy,New York,NY,0.2184,1509,46660,0.5342,69550.04,26900
Bard College,Annandale-On-Hudson,NY,0.3217,1976,64671,0.6873,78301.83,35900
Barnard College,New York,NY,0.1962,2536,63105,0.8458,75897.42,56400
Canisius College,Buffalo,NY,0.8698,2552,46481,0.5969,61812.51,46100
Cazenovia College,Cazenovia,NY,0.8149,1050,45054,0.5478,59343.88,33700
Central Yeshiva Tomchei Tmimim Lubavitz,Brooklyn,NY,0.9839,513,23445,0,51407.65,21800
Clarkson University,Potsdam,NY,0.6806,3153,59672,0.5233,62331.73,68900
Colgate University,Hamilton,NY,0.2736,2834,62405,0.8587,81701.81,61300
Metropolitan College of New York,New York,NY,0.5285,779,29954,0.35,44959.41,37800
Columbia University in the City of New York,New York,NY,0.0661,8102,66604,0.8799,76971.15,78200
Concordia College-New York,Bronxville,NY,0.7139,886,39015,0.2673,76194.22,45200
Cornell University,Ithaca,NY,0.1507,14226,63596,0.8639,80346.48,73600
CUNY Bernard M Baruch College,New York,NY,0.3244,14896,16468,0.4182,53216.18,55300
CUNY Brooklyn College,Brooklyn,NY,0.3731,13172,16657,0.2342,49392.3,43500
College of Staten Island CUNY,Staten Island,NY,0.9758,12321,18131,0.1913,65469.83,40200
CUNY City College,New York,NY,0.4297,12468,15472,0.1112,48071.31,45800
CUNY Hunter College,New York,NY,0.3866,15465,17598,0.2456,55390.45,45100
CUNY John Jay College of Criminal Justice,New York,NY,0.3655,12545,14136,0.191,51361.88,43300
CUNY Lehman College,Bronx,NY,0.2995,9874,16445,0.1472,41652.24,41200
CUNY Medgar Evers College,Brooklyn,NY,0.9916,6257,16969,0.0667,43304.4,34800
CUNY New York City College of Technology,Brooklyn,NY,0.7371,16297,14239,0.1193,46554.77,38900
CUNY Queens College,Queens,NY,0.4044,15148,17071,0.2809,63917.39,47400
CUNY York College,Jamaica,NY,0.405,7264,15822,0.049,55168.11,39200
D'Youville College,Buffalo,NY,0.7262,1707,34292,0.2327,52394.78,48300
Daemen College,Amherst,NY,0.5066,1968,35087,0.2575,56233.54,39600
Dominican College of Blauvelt,Orangeburg,NY,0.7147,1534,37935,0.2567,77440.46,45900
Elmira College,Elmira,NY,0.7616,1252,50755,0.5155,64913.31,42600
Five Towns College,Dix Hills,NY,0.6025,628,32505,0.2203,80517.15,33400
Fordham University,Bronx,NY,0.4757,8701,60867,0.7499,77653.15,57400
Hamilton College,Clinton,NY,0.2481,1861,61770,0.8734,78373.41,59400
Hartwick College,Oneonta,NY,0.8076,1384,51932,0.0448,69362,42800
Hilbert College,Hamburg,NY,0.817,874,25881,0.396,58163.76,41000
Hobart William Smith Colleges,Geneva,NY,0.565,2257,62034,0.7633,75518.89,51200
Hofstra University,Hempstead,NY,0.6106,6716,52946,0.4858,86369.03,52400
Houghton College,Houghton,NY,0.9457,1014,39937,0.6596,59922.67,39900
Iona College,New Rochelle,NY,0.9121,3018,47597,0.5657,78814.8,53400
Ithaca College,Ithaca,NY,0.6703,6279,57239,0.6868,77434.32,50300
The Juilliard School,New York,NY,0.0643,489,57656,0.8824,75845.26,30600
Keuka College,Keuka Park,NY,0.7668,1716,44386,0.2244,56096.14,41500
LIM College,New York,NY,0.9056,1515,42884,0.4711,78436.88,45800
Le Moyne College,Syracuse,NY,0.6176,2769,44455,0.5686,60497.51,49100
LIU Brooklyn,Brooklyn,NY,0.909,4568,44488,0.1051,50877.21,46400
LIU Post,Brookville,NY,0.8058,3443,48247,0.2721,69416.15,46400
Manhattan College,Riverdale,NY,0.6685,3576,50517,0.5945,83053.51,62800
Manhattan School of Music,New York,NY,0.4607,410,55836,0.725,77713.6,21300
Manhattanville College,Purchase,NY,0.7411,1743,49750,0.5102,80867.81,45900
Marist College,Poughkeepsie,NY,0.4496,5206,49201,0.6801,83197.29,54700
Marymount Manhattan College,New York,NY,0.8381,1875,48756,0.3429,77729.18,40400
Medaille College,Buffalo,NY,0.6919,1521,32691,0.3291,56197.77,38500
Mercy College,Dobbs Ferry,NY,0.6569,6410,27517,0.1856,57656.36,37000
Molloy College,Rockville Centre,NY,0.7552,3373,40755,0.4701,87964.15,57500
Monroe College,Bronx,NY,0.453,5993,21647,0.5437,41127.37,28400
Mount Saint Mary College,Newburgh,NY,0.8957,2140,40492,0.4578,74923.28,47900
College of Mount Saint Vincent,Bronx,NY,0.8606,1586,41294,0.3359,63240.6,50100
Nazareth College,Rochester,NY,0.7555,2078,44771,0.6415,64638.98,43900
The College of New Rochelle,New Rochelle,NY,0.7339,2967,47032,0.1623,41804.07,34400
The New School,New York,NY,0.6662,6752,60109,0.4837,75464.08,43100
New York University,New York,NY,0.3207,25314,65405,0.8057,82106.43,59600
Niagara University,Niagara University,NY,0.8474,3133,41448,0.5633,60954.17,40500
New York Institute of Technology,Old Westbury,NY,0.6777,3951,42584,0.2478,72244.37,53400
New York School of Interior Design,New York,NY,0.4194,334,43404,0,74931.9,40800
Nyack College,Nyack,NY,0.9857,1540,36939,0.3269,61585.03,40200
Pace University-New York,New York,NY,0.8383,8371,54829,0.3686,74848.68,57000
Paul Smiths College of Arts and Science,Paul Smiths,NY,0.6878,885,41216,0.3246,59302.03,34400
Davis College,Johnson City,NY,0.4322,231,20923,0.2,52113.29,29400
Davis College,Johnson City,NY,0.4322,231,20923,0.2,51468.11,25400
Pratt Institute-Main,Brooklyn,NY,0.5739,3356,59228,0.4334,75295.69,43500
Rensselaer Polytechnic Institute,Troy,NY,0.4187,5781,64198,0.6283,74851.88,77900
Roberts Wesleyan College,Rochester,NY,0.6632,1282,41358,0.3668,60753.22,41000
Rochester Institute of Technology,Rochester,NY,0.5727,12873,49013,0.3366,69175.72,60600
University of Rochester,Rochester,NY,0.3382,6125,63268,0.7448,76108.65,57500
The Sage Colleges,Troy,NY,0.5391,1605,41035,0.4979,60191.67,41700
St Bonaventure University,Saint Bonaventure,NY,0.6599,1637,43387,0.5419,64352.24,44400
St Francis College,Brooklyn Heights,NY,0.7878,2578,28692,0.2897,53129.58,44400
St Lawrence University,Canton,NY,0.4617,2347,61632,0.8221,68738.71,46500
The College of Saint Rose,Albany,NY,0.8176,2626,42616,0.4648,65757.44,42500
St. Thomas Aquinas College,Sparkill,NY,0.7888,1170,39073,0.3584,86845.1,45400
Sarah Lawrence College,Bronxville,NY,0.5338,1283,66323,0.7205,76763,39900
Siena College,Loudonville,NY,0.7602,3062,48809,0.719,72227.51,54500
Skidmore College,Saratoga Springs,NY,0.365,2619,62750,0.8281,78806.42,47100
St. Joseph's College-New York,Brooklyn,NY,0.6792,3833,28621,0.5343,81308.04,52100
Saint John Fisher College,Rochester,NY,0.6236,2782,42107,0.6111,63735.93,45600
St John's University-New York,Queens,NY,0.6493,11244,51528,0.4089,69749.7,53300
SUNY College of Technology at Alfred,Alfred,NY,0.568,3669,22553,0.5267,55015.93,39800
SUNY College of Technology at Canton,Canton,NY,0.8473,3041,19791,0.2766,48556.69,34800
SUNY College of Technology at Delhi,Delhi,NY,0.5426,3234,21822,0.2097,58633.06,36500
SUNY College of Agriculture and Technology at Cobleskill,Cobleskill,NY,0.7335,2420,22045,0.3036,60485.06,33400
Farmingdale State College,Farmingdale,NY,0.4401,7977,14718,0.3013,86057.23,48600
Morrisville State College,Morrisville,NY,0.5827,2694,23522,0.1915,55475.93,32300
SUNY at Albany,Albany,NY,0.5644,12698,22568,0.5892,70013.16,50600
SUNY at Binghamton,Vestal,NY,0.4249,13465,23480,0.694,71392.67,59200
University at Buffalo,Buffalo,NY,0.5999,19692,23249,0.5539,63949.26,49900
Stony Brook University,Stony Brook,NY,0.4099,16583,22000,0.4748,76205.23,55100
SUNY College of Environmental Science and Forestry,Syracuse,NY,0.5195,1746,24366,0.5866,63414.84,42200
SUNY Polytechnic Institute,Utica,NY,0.6046,1950,21439,0.3153,53376.47,48300
SUNY College at Brockport,Brockport,NY,0.5267,6997,20867,0.4757,61824.2,41200
SUNY Buffalo State,Buffalo,NY,0.6231,9018,18907,0.2472,55484,38600
SUNY Cortland,Cortland,NY,0.5084,6276,23273,0.5326,68027.03,45400
SUNY at Fredonia,Fredonia,NY,0.5925,4542,22066,0.4746,60720.74,39800
SUNY College at Geneseo,Geneseo,NY,0.7274,5548,22716,0.6882,69095.17,46700
State University of New York at New Paltz,New Paltz,NY,0.4151,6498,21716,0.5644,72171.58,43700
SUNY Oneonta,Oneonta,NY,0.4872,5825,22414,0.5658,67183.32,42000
SUNY College at Oswego,Oswego,NY,0.5101,7046,22061,0.4866,60525.69,41500
SUNY College at Potsdam,Potsdam,NY,0.7391,3595,21315,0.3571,56041.37,37300
SUNY at Purchase College,Purchase,NY,0.408,3914,24561,0.4841,76919.71,35800
SUNY College at Old Westbury,Old Westbury,NY,0.5009,3998,18532,0.2129,73417.13,43900
SUNY College at Plattsburgh,Plattsburgh,NY,0.4969,5272,21479,0.4444,61507.99,40300
SUNY Maritime College,Throggs Neck,NY,0.6833,1667,22648,0.3211,80060.6,76700
Syracuse University,Syracuse,NY,0.4833,14620,59047,0.6836,75289.41,58400
Talmudical Seminary Oholei Torah,Brooklyn,NY,1,349,20159,0.2576,50799.78,18200
Touro College,New York,NY,0.3412,5965,24148,0.4113,49299.36,29100
United States Merchant Marine Academy,Kings Point,NY,0.2172,904,9103,0.6273,76831.57,78900
Utica College,Utica,NY,0.829,3041,46704,0.288,55854.21,44100
Vassar College,Poughkeepsie,NY,0.2573,2414,63390,0.8632,80899.18,51400
Villa Maria College,Buffalo,NY,0.8476,541,24305,0.1857,48601.33,26100
School of Visual Arts,New York,NY,0.7533,3581,52435,0.6175,78955.6,40200
Wagner College,Staten Island,NY,0.685,1748,52742,0.5497,80220.05,55300
Wells College,Aurora,NY,0.627,548,51038,0.4276,61992.22,35800
Yeshiva University,New York,NY,0.8049,2740,56555,0.5786,78671.25,55900
Yeshivath Viznitz,Monsey,NY,1,510,17259,0,59103.9,12800
Appalachian State University,Boone,NC,0.6638,16126,19359,0.4638,61267.04,36800
Barton College,Wilson,NC,0.4178,975,39695,0.2826,54814.93,35500
Belmont Abbey College,Belmont,NC,0.6787,1482,31581,0.3485,63374.1,35700
Bennett College,Greensboro,NC,0.9486,508,30150,0.3203,60183.85,28900
Brevard College,Brevard,NC,0.4106,725,37268,0.2579,60482.97,29100
Campbell University,Buies Creek,NC,0.735,4401,45424,0.3626,56906.03,44200
Catawba College,Salisbury,NC,0.3179,1254,40475,0.3929,60564.51,38300
Chowan University,Murfreesboro,NC,0.6175,1514,33753,0.1209,53634.23,32600
Davidson College,Davidson,NC,0.2213,1779,60921,0.8994,76036.21,54600
Duke University,Durham,NC,0.1142,6501,63999,0.8618,78468.48,77900
East Carolina University,Greenville,NC,0.6904,21697,21040,0.3544,57608.05,39300
Elizabeth City State University,Elizabeth City,NC,0.6995,1505,12959,0.1608,47337.89,29600
Elon University,Elon,NC,0.572,5903,45186,0.7946,81102.4,49000
Fayetteville State University,Fayetteville,NC,0.6039,5087,13171,0.1605,49808.38,29900
Gardner-Webb University,Boiling Springs,NC,0.5269,2626,39390,0.375,54757.84,37100
Greensboro College,Greensboro,NC,0.7525,758,38942,0.2697,63893.94,34900
Guilford College,Greensboro,NC,0.629,1768,47175,0.4324,63141.25,36200
High Point University,High Point,NC,0.7249,4362,46710,0.6109,63207.13,38200
John Wesley University,High Point,NC,0.7692,125,19621,0.1429,56922,35100
Johnson C Smith University,Charlotte,NC,0.4563,1371,32021,0.3794,57295.75,28300
Lees-McRae College,Banner Elk,NC,0.665,1032,39684,0.3,55854.25,33000
Lenoir-Rhyne University,Hickory,NC,0.8435,1412,43723,0.3352,58700.84,36300
Livingstone College,Salisbury,NC,0.7127,1261,26721,0.1351,55022.91,21400
Mars Hill University,Mars Hill,NC,0.6096,1353,39413,0.1779,56558.51,30300
Meredith College,Raleigh,NC,0.6002,1651,42962,0.5483,66301.42,36500
Methodist University,Fayetteville,NC,0.5594,2173,48331,0.1806,58239.21,38700
Montreat College,Montreat,NC,0.5438,724,34863,0.3735,61225.9,36600
University of Mount Olive,Mount Olive,NC,0.5053,3152,27143,0.2696,51727.18,37000
North Carolina A & T State University,Greensboro,NC,0.6048,9036,16566,0.2043,56398.61,33100
University of North Carolina at Asheville,Asheville,NC,0.7851,3505,19760,0.3611,56376.64,34200
University of North Carolina at Chapel Hill,Chapel Hill,NC,0.3054,17951,23940,0.8131,66893.88,54100
University of North Carolina at Charlotte,Charlotte,NC,0.6331,22686,18372,0.2602,65762.02,42700
University of North Carolina at Greensboro,Greensboro,NC,0.586,15158,18357,0.3222,60658.11,35600
North Carolina Central University,Durham,NC,0.6587,5797,18608,0.1599,57501.19,32200
University of North Carolina School of the Arts,Winston-Salem,NC,0.3439,850,22072,0.6688,68862.71,31400
North Carolina State University at Raleigh,Raleigh,NC,0.5043,22458,22767,0.4428,64180.75,49300
North Carolina Wesleyan College,Rocky Mount,NC,0.5545,2112,38340,0.1186,57249.1,37600
University of North Carolina Wilmington,Wilmington,NC,0.6096,12971,21050,0.5018,62176.12,39600
William Peace University,Raleigh,NC,0.5019,1038,39657,0.0078,63605.3,34000
University of North Carolina at Pembroke,Pembroke,NC,0.7437,5508,17403,0.1814,49520.51,32600
Pfeiffer University,Misenheimer,NC,0.4653,909,37589,0.3156,62403.22,35900
Piedmont International University,Winston-Salem,NC,0.242,342,21902,0.2581,55018.33,30500
Queens University of Charlotte,Charlotte,NC,0.6712,1551,46333,0.463,69597.25,37600
Mid-Atlantic Christian University,Elizabeth City,NC,0.4196,203,25796,0.2,56960.2,28500
Saint Augustine's University,Raleigh,NC,0.5765,810,32030,0.2146,57856.71,25100
Salem College,Winston-Salem,NC,0.6224,922,41356,0.5177,59058,32300
Shaw University,Raleigh,NC,0.6048,1505,29359,0.1307,53196.27,27100
St Andrews University,Laurinburg,NC,0.5732,620,40766,0.2329,64861.88,33000
Wake Forest University,Winston-Salem,NC,0.2939,4866,62502,0.824,80539.14,60200
Warren Wilson College,Swannanoa,NC,0.8381,749,44717,0.4253,70885.71,27000
Wingate University,Wingate,NC,0.6981,2015,39071,0.4,65044.99,40400
Winston-Salem State University,Winston-Salem,NC,0.5853,4647,17369,0.17,54716.68,31800
Western Carolina University,Cullowhee,NC,0.4027,8601,18923,0.3672,56230.92,36200
Dickinson State University,Dickinson,ND,0.9308,1134,15666,0.1433,46555.21,39200
University of Jamestown,Jamestown,ND,0.6499,861,29844,0.2103,51493.83,42400
University of Mary,Bismarck,ND,0.9567,1875,24857,0.3923,50623.12,46200
Minot State University,Minot,ND,0.5679,2565,15139,0.1627,47057.03,38900
University of North Dakota,Grand Forks,ND,0.8189,10809,20657,0.2377,56722.24,46800
North Dakota State University-Main Campus,Fargo,ND,0.9364,11719,19198,0.269,55831.54,46600
Trinity Bible College and Graduate School,Ellendale,ND,0.4241,186,25154,0.3077,50788.22,27400
Valley City State University,Valley City,ND,0.8635,974,16940,0.2105,48927.68,38500
University of Akron Main Campus,Akron,OH,0.966,17240,22378,0.1346,58778.75,35000
